,ID,xmin,ymin,xmax,ymax,Text,label
0,,0,0,0,0,,
1,,0,0,0,0, ,o
2,7fc99316-1829-491b-99bc-8b147b962f49,0.440428942,0.165520772,0.515264392,0.17841661,INVOICE ,o
3,eabe9365-8282-4554-83df-07c6baf752be,0.034812078,0.2101015,0.143983871,0.221202761,Ms. Ben Bauch ,name
4,18a4127b-ed49-471e-a3b5-1b7803274d05,0.035570726,0.225420386,0.176164225,0.238931596,276 Gislason Street ,o
5,fe07527f-2343-4a4c-8110-ec044d5c22b1,0.03560238,0.241257623,0.205946878,0.252690703,Phone: 4-327-899-8351 ,phone
6,57a34911-e57d-4316-9fb5-007b6eb22b42,0.779196739,0.27201277,0.932496846,0.327530861,GO ,o
7,c7d53b54-c377-4491-9c13-ba5808449bc7,0.037829552,0.345907569,0.358566582,0.363216847,"Stracke, Corkery and Wolf ",o
8,294a51b6-9759-4a81-aaf7-08f4dd16ff12,0.583264589,0.36320594,0.6375525,0.373929262,Invoice ,o
9,e7fe6e2e-4a79-44a3-8e63-c1c825600821,0.87652415,0.372125238,0.920999646,0.382138878,57252,o
10,f32f4e0c-1ed4-44df-9ea2-e35d64fd2b01,0.583773553,0.380830169,0.593613267,0.388747394,# ,o
11,4494d002-d5fb-42e9-a9a8-f56e1bb8c2bc,0.724254131,0.403487563,0.921448946,0.414527118,Wed Mar 18 2020 17:32:49 ,o
12,2b51aaf0-9afe-40bb-a0d1-a1bcd658bc48,0.584445536,0.412795484,0.618858993,0.423110396,Date ,o
13,2fd1133f-84e1-43c3-a458-05e100b2811e,0.665573359,0.419458866,0.922346652,0.432069242,GMT+0200 (Israel Standard Time) ,o
14,e1647eaf-7e50-479a-bb91-f9db5ed03c94,0.585140824,0.447073579,0.644708514,0.456959844,Amount ,o
15,4c5fc04f-8fa6-4be3-a570-f4d9945f9272,0.861404836,0.453011751,0.923257589,0.465416253,$563.00 ,o
16,8fbb7f6f-62be-4d33-a6cb-c6890da03cff,0.585095048,0.462725222,0.615264595,0.473160326,Due ,o
