,ID,xmin,ymin,xmax,ymax,Text,,label
0,,0,0,0,0,,,
1,,0,0,0,0, ,,o
2,bd18847d-fd5c-41f2-b261-2b540409a15b,0.052413292,0.206527382,0.162851125,0.216537818,Hector Erdman ,,name
3,27a5aef8-28f4-4b27-9890-93b0f8005261,0.052426338,0.221496508,0.174601898,0.234187558,2138 Effertz Ville ,,o
4,e6da7f0d-f48e-4fe7-833b-8565c99ce7ca,0.052797761,0.237692833,0.252067894,0.250627846,Phone: 955.466.6743 x6500 ,,phone
5,24f66aad-336d-4c9d-9d9c-529690532cce,0.052608632,0.341720581,0.217670128,0.355139345,Von - Gaylord ,,o
6,558245f7-6793-4ffb-a14d-05dddcb0e8fb,0.5866009,0.360706806,0.639482021,0.370022416,Invoice ,,o
7,12e695af-5d8e-4471-8a0a-a07f8219fc0a,0.876901329,0.369645357,0.917821109,0.379171968,21144,,o
8,9469771d-e415-4c8d-bb7b-9a71be5e50a3,0.588254869,0.378412962,0.596593559,0.383541614,= ,,o
9,dbc3664f-04f8-4fb1-a6db-c4a5aa050960,0.734030187,0.399833202,0.918846607,0.412579626,FriAug 28 2020 20:40:51 ,,o
10,106d6aaa-d43f-4915-8131-e0dbb41a1148,0.587718904,0.40873161,0.62119621,0.417945057,Date ,,o
11,5f1fa2b1-2bd8-48e9-aa93-9b8221d57053,0.672109604,0.415558398,0.918083072,0.42859751,GMT+0300 (Israel Daylight Time) ,,o
12,f34b620d-f4fd-42a9-a5be-689d55554ac8,0.587881982,0.442589968,0.646223128,0.451412529,Amount ,,o
13,17f900c9-636b-4f18-8ef0-2811ac8d4fb1,0.860905766,0.449290812,0.918955505,0.46151945,S651 20 ,,o
14,720f910a-6b15-4467-9ee4-ba5a994e9ae8,0.588122547,0.457796097,0.617806315,0.467679113,Due ,,o
15,ac8c1401-6269-4e4f-ac51-fe7257c42311,0.143682957,0.517159998,0.182859585,0.526540458,Item ,,o
16,a78dba69-a942-41b4-b6d0-b6e68335cdda,0.397799492,0.516985893,0.4955118,0.529254317,Description ,,o
