,ID,xmin,ymin,xmax,ymax,Text,label
0,,0,0,0,0,,
1,,0,0,0,0, ,o
2,38a2f0ca-006f-4c71-84c0-56703f37a7d1,0.45797205,0.166487351,0.528054833,0.177021474,INVOICE ,o
3,210d5a37-e0e1-4101-aab1-aae25714122b,0.055131927,0.206864953,0.173839241,0.217337266,Marshall Carroll ,name
4,35d2023f-0204-4b4a-83bc-efd49600e041,0.055633999,0.222632244,0.177571148,0.235600099,361 Hirthe Spurs ,o
5,3ddf29bc-f420-43dc-af0a-f85013242ba8,0.056622371,0.238509253,0.272402763,0.252354592,Phone: 1-994-442-1835 x3160 ,phone
6,acfd9c2d-090e-4cb0-b223-96edaae6aa2a,0.057587422,0.34307754,0.346576899,0.360029399,"Rice, Johns and Stanton ",o
7,d31b5cc3-bd6e-4bbb-8124-d9e979b0fc0d,0.597161233,0.363003463,0.650911629,0.372741252,Invoice ,o
8,3e55760f-1d69-4e6a-82f6-5c43faddb4a0,0.887573898,0.370454282,0.931888163,0.381960899,67470,o
9,7d28feab-4686-48b8-b4cd-4e50e309b6c5,0.598886669,0.380502969,0.607254684,0.386717528,= ,o
10,d504dcf0-c216-4471-94f9-8a1aa1916b09,0.742699504,0.403753102,0.932006478,0.416130632,Mon Jul 13 2020 22:54:56 ,o
11,6fcba47a-3bc3-4fa9-b941-0ca9c98905dd,0.598452628,0.411857635,0.632296741,0.421644121,Date ,o
12,e07f04f6-1600-4e09-90af-caf4c56e6f91,0.680205107,0.419223636,0.932559967,0.431958824,GMI++0300 (Israel Daylight Time) ,o
13,a9280417-687c-4480-9158-804e0ba3d879,0.59697175,0.445777774,0.6571455,0.454687566,Amount ,o
14,914ae41d-078c-40a3-a77a-ef51bf0f9b29,0.871402502,0.452440739,0.933396995,0.464645654,$598.00 ,o
15,d2d22053-60a2-45d0-8e86-f0d141fcd299,0.598614156,0.461039543,0.628231227,0.47101894,Due ,o
16,eaaeb096-ce08-403d-bbf9-f16a5bf0bd1f,0.147380695,0.520436823,0.186991349,0.530408561,Item ,o
