,ID,xmin,ymin,xmax,ymax,Text,label
0,,0,0,0,0,,
1,,0,0,0,0, ,o
2,b91bca97-1d9c-4ba3-b2f8-4a75a42758be,0.465973616,0.171687186,0.542861283,0.183714062,INVOICE ,o
3,8bf2b822-edc7-4162-9b4d-ad4f45410d88,0.06075659,0.212337688,0.149650499,0.223958388,Luke Zulauf ,name
4,4354a716-b71c-4f2e-99fe-32b1a24243cb,0.060596257,0.228666782,0.17735596,0.242607042,443 Rocky View ,o
5,47aa5177-dbf6-4166-ad20-f29f8738a9e2,0.061229743,0.244577199,0.262363493,0.258590847,Phone: (695) 475-6114 X219 ,phone
6,b053ae54-3ec2-4e42-992f-db23f5871ff3,0.061526675,0.348763347,0.400856823,0.366735965,"Bogisich, Kub and O'Conner ",o
7,69b4b852-24a5-4240-84a8-33d2be998660,0.60654521,0.369958431,0.660675347,0.380652428,Invoice ,o
8,e7b0d7d1-6305-4486-9063-8572f628cdb4,0.89873594,0.38059485,0.944154322,0.390965492,92749,o
9,9e8fdf9b-5c8f-477f-88d6-a2f87a25f26e,0.607494414,0.38801229,0.616831005,0.395879298,# ,o
10,7eb3e889-8583-4107-a3e2-f2e625875071,0.607576847,0.419326812,0.641459107,0.429736823,Date ,o
11,a5a73427-dc65-4b32-861c-5985509df97f,0.747624815,0.411135882,0.943791389,0.424098432,Wed Jun 17 2020 05:56:42 ,o
12,deeb9735-713c-425a-8798-6af954539340,0.69525212,0.427490741,0.94566673,0.440970331,GMT+0300 (Israel Daylight Time) ,o
13,8ed65e13-b4f5-404c-a911-487906381c5f,0.606702387,0.453864336,0.667024136,0.463654786,Amount ,o
14,56305e01-c57d-4b6d-8696-b2c1c0c223a8,0.607372403,0.468865722,0.63712883,0.479239464,Due ,o
15,9a6a7bac-2a80-480f-835a-da53601bb6a9,0.885446429,0.462118536,0.944659114,0.47385633,$310.00 ,o
16,d59ceb1a-3457-4f0b-a70d-101ad4ad4f50,0.151906937,0.526904225,0.192091554,0.537382185,Item ,o
17,b1c439b6-6a82-47b6-8d5f-688c0889ed49,0.411351889,0.528205574,0.51214242,0.541197121,Description ,o
18,fc7a57f7-a4d1-4703-907f-c5af78da3fe8,0.656702995,0.528982222,0.736724317,0.539800346,Unit Cost ,o
19,43a87c0f-9cd1-4389-b0ca-d113173738b1,0.763390005,0.529790163,0.838112414,0.542541862,Quantity ,o
20,b3ac9d01-7ef8-4269-8812-f5666b594096,0.878929317,0.530079663,0.923835814,0.540513098,Price ,o
21,bacd4524-4a92-4ed9-b337-38809cff8769,0.069750488,0.550572455,0.201635867,0.562105715,Sleek Plastic Tuna ,o
22,33895932-b4ca-41c7-b245-10d233aec878,0.28601563,0.552467704,0.586598098,0.566598535,Ergonomic executive chair upholstered in ,o
23,f1ea954f-c862-4b78-bfb1-ec3ccdb23880,0.648845136,0.554653585,0.7068097,0.5651806,$811.00 ,o
24,9e6d72c9-ce84-4a81-850f-10b893662ab2,0.755457282,0.554770231,0.802271247,0.567721009,28363,o
25,c724852b-7aca-476d-ac84-afcd0e127289,0.855576694,0.557635307,0.898127317,0.567826152,31142,o
26,383823f2-0c27-4982-a334-a6d4bf553e35,0.285553128,0.567679703,0.625915825,0.583013058,bonded black leather and PVC padded seat and ,o
27,a2bed1a3-0c4e-4240-868b-5523da9a70d5,0.285433918,0.583868146,0.551200747,0.597475886,back for all-day comfort and support ,o
28,8ba338b1-4200-4f54-88f8-0158be97d7e2,0.069342136,0.60688585,0.245543748,0.618418753,Handcrafted Plastic Ball ,o
29,b69e6c19-f6c7-447b-8f37-100843ef6d3a,0.285497338,0.608264744,0.56766963,0.622738481,The Football Is Good For Training And ,o
30,615d4b81-2e6b-4f4b-8c5a-fde33d4dedd2,0.648961604,0.611203372,0.70108372,0.623491704,$45.00 ,o
31,80f0f78d-99c3-4bf5-a81e-143d2573b488,0.755263627,0.611374557,0.800461233,0.624354899,16833,o
32,fea4bfdd-1105-43d9-a88c-f3f1a227dcc8,0.856026232,0.611873627,0.918967307,0.62461406,$650.00 ,o
33,d5eb45d1-fe8d-477f-bfcb-1f27bc9aa04c,0.285470724,0.624089539,0.447660476,0.635098577,Recreational Purposes ,o
34,69db2602-7310-45ae-8a91-a17b21276b39,0.783168018,0.655748665,0.844342887,0.666467726,Subtotal ,o
35,ccd7984f-0910-4d59-aad7-619df31103a4,0.862029612,0.657266259,0.924137115,0.668671966,$270.00 ,o
36,e4a95acc-349d-48ea-a34c-0920b39fc83e,0.805889428,0.68916434,0.845159411,0.700167835,Total ,o
37,c62d4fe5-bb84-48b6-8442-24b09c95eced,0.862236142,0.690030694,0.922640681,0.702765405,$691.00 ,total
38,240250ce-61f3-4f9a-88b3-5e9e96437239,0.748145342,0.723608017,0.844951451,0.733696938,Amount Paid ,o
39,404a2586-be9c-44ba-b832-1c46d4f2c65d,0.861994207,0.724622071,0.905005395,0.735854268,$3.00 ,o
40,bb5105b2-1b3d-4a9b-a48b-5273c35ab058,0.754387021,0.756397367,0.845281303,0.767021179,Balance Due ,o
41,346da1f8-5294-4cc9-84dc-703275fa7625,0.862612724,0.757425785,0.924634814,0.769661546,$694.00 ,o
42,5b31b1da-50ce-4f70-9731-22fcab03b4fe,0.450905859,0.795620918,0.504035711,0.806100249,TERMS ,o
43,8f8b4ec5-1470-4e83-a5bb-987e20fbbfc9,0.200262785,0.822261691,0.814083934,0.837169111,NET 3° Days. Finance Charge of 1.5% will be made on unpaid balances after 30 days.,o
