xmin,ymin,xmax,ymax,Text,label,below_Text,below_dist,below_obj_index,side_Text,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
0.0,0.0,0.0,0.0,,o,,0.0,-1,,0.0,-1,0.0,0.0
0.0,0.0,0.0,0.0, ,o,,0.0,-1,,0.0,-1,0.0,0.0
0.445395023,0.165724218,0.517023981,0.178355157,NVOICE ,o,Description ,0.35230273,17,,0.0,-1,0.35230273,0.0
0.045949657,0.20575808,0.13277182,0.216184348,Eva Schmitt ,o,54803 Maude Highway ,0.017172053500000006,4,,0.0,-1,0.017172053500000006,0.0
0.046176355,0.221568108,0.211722299,0.234718427,54803 Maude Highway ,address,Phone: 1-574-249-3501 ,0.01440040749999999,5,,0.0,-1,0.01440040749999999,0.0
0.046434131,0.23711729,0.212091506,0.24797006,Phone: 1-574-249-3501 ,phone,Kuhlman - Blanda ,0.105529182,6,,0.0,-1,0.105529182,0.0
0.046063531,0.340826035,0.260961354,0.355319679,Kuhlman - Blanda ,o,Item ,0.17423024749999994,16,,0.0,-1,0.17423024749999994,0.0
0.580295503,0.361329973,0.633589923,0.37153548,Invoice ,o,= ,0.016140147999999965,9,84890,0.28040871049999994,8,0.016140147999999965,0.28040871049999994
0.863857567,0.369251996,0.91084528,0.381589413,84890,o,Tue May 26 2020 20:03:27 ,0.03336510100000001,10,,0.0,-1,0.03336510100000001,0.0
0.58079052,0.378951639,0.589880526,0.38619411,= ,o,Date ,0.0326920745,11,84890,0.30201590050000005,8,0.0326920745,0.0
0.717192233,0.402742118,0.912102878,0.414829493,Tue May 26 2020 20:03:27 ,o,GMI++300 (Israel Daylight Time) ,0.015766546000000048,12,,0.0,-1,0.015766546000000048,0.0
0.581282198,0.410500377,0.614180386,0.420029521,Date ,o,Amount ,0.03355330249999999,13,GMI++300 (Israel Daylight Time) ,0.19045096700000008,12,0.03355330249999999,0.19045096700000008
0.6649822,0.417939961,0.911382318,0.431164742,GMI++300 (Israel Daylight Time) ,o,$744.00 ,0.03257296949999994,14,,0.0,-1,0.03257296949999994,0.0
0.580095887,0.444539547,0.639582694,0.453096956,Amount ,o,Due ,0.015187204000000065,15,$744.00 ,0.27172446249999993,14,0.015187204000000065,0.27172446249999993
0.852285266,0.451464057,0.91084224,0.462786585,$744.00 ,o,Price ,0.06625212750000004,20,,0.0,-1,0.06625212750000004,0.0
0.581412196,0.458949894,0.610351145,0.469061017,Due ,o,bonded black leather and PVC padded seat and ,0.10042385749999994,26,$744.00 ,0.28568208249999993,14,0.0,0.0
0.1355156,0.517430067,0.174692407,0.527176142,Item ,o,Sleek Steel Shirt ,0.024953633500000016,21,Description ,0.28412527649999997,17,0.024953633500000016,0.28412527649999997
0.390221596,0.517987549,0.488236964,0.530697286,Description ,o,Ergonomic executive chair upholstered in ,0.024438619999999966,22,Unit Cost ,0.22969934350000004,18,0.024438619999999966,0.22969934350000004
0.629495025,0.51789856,0.708362222,0.528290391,Unit Cost ,o,$316.00 ,0.026471048499999927,23,Quantity ,0.1015462279999999,19,0.026471048499999927,0.1015462279999999
0.734185398,0.518178105,0.806764305,0.530884802,Quantity ,o,97393,0.025957822999999935,24,Price ,0.09878593650000012,20,0.025957822999999935,0.09878593650000012
0.84717226,0.518340409,0.891349316,0.528414488,Price ,o,12694,0.02601322500000003,25,,0.0,-1,0.02601322500000003,0.0
0.05559976,0.541880906,0.170985356,0.55263257,Sleek Steel Shirt ,o,Sleek Steel Ball ,0.05536469799999999,28,Ergonomic executive chair upholstered in ,0.3009051405,22,0.05536469799999999,0.3009051405
0.267292291,0.542372406,0.561103106,0.555189669,Ergonomic executive chair upholstered in ,o,bonded black leather and PVC padded seat and ,0.01564827550000003,26,$316.00 ,0.23683123250000004,23,0.01564827550000003,0.23683123250000004
0.62184298,0.543595195,0.680214882,0.555535853,$316.00 ,o,$596.00 ,0.05542770000000008,31,97393,0.09751614949999998,24,0.05542770000000008,0.09751614949999998
0.726527929,0.545313179,0.770562232,0.555665374,97393,o,38748,0.054431200500000054,32,12694,0.09866434349999997,25,0.054431200500000054,0.09866434349999997
0.825458646,0.543188274,0.868960202,0.555593073,12694,o,$650.00 ,0.05548110649999993,33,,0.0,-1,0.05548110649999993,0.0
0.266732693,0.55760175,0.599860191,0.571256876,bonded black leather and PVC padded seat and ,o,back for all-day comfort and support ,0.015607982999999992,27,,0.0,-1,0.015607982999999992,0.0
0.266858906,0.573441148,0.526658118,0.586633444,back for all-day comfort and support ,o,.ed kleping ,0.023353874500000038,30,,0.0,-1,0.023353874500000038,0.0
0.055673409,0.597256601,0.164465368,0.607986271,Sleek Steel Ball ,o,,0.0,-1,New range of formal shirts are do ,0.2784311975,29,0.0,0.2784311975
0.267418593,0.597851574,0.509582579,0.610790193,New range of formal shirts are do ,o,you in mind. With fits and styling that will make ,0.01574382200000002,34,.ed kleping ,0.17856870599999997,30,0.01574382200000002,0.17856870599999997
